name,address,lat,lng,id,place_id
809 Perfect Deli,"62-05 30th Avenue, Woodside",40.7597826,-73.9011389,e94174eeebbac2109c93ef2ab930989ee0a7852c,ChIJ4dXeeRJfwokRgRs-KmZ1l6A
809 Sangria Bar & Grill,"112 Dyckman Street, New York",40.861968,-73.92532,e5a883b6fe905e7f0a93fd0e917ecb9e3e83e090,ChIJRSapPgb0wokReqEE-4KOnB0
829 Bar and Restaurant,"104-19 Jamaica Avenue, Richmond Hill",40.6953714,-73.8426481,6cf252536394a44f1eb64d17b7298ccc51ffa166,ChIJOxfQ4v9dwokRkzWHZBN6ljY
876 Restaurant,"2102 Utica Avenue, Brooklyn",40.6201036,-73.9274034,6583e44f48cef326cb830ee5a94115273d957a05,ChIJ40GUV1BDwokRoK21-kDbta4
88 Canteen,"58-46 Main Street, Flushing",40.7440101,-73.8260519,737c3bc542d1e7188c0a9edc58f1d7e3d6a21068,ChIJQUKHE29gwokRgdAe8kdAekE
88 Palace,"88 East Broadway, New York",40.713948,-73.9942997,33149e5545dda5a5c1cc097d700ea6c63277317e,ChIJr9wZmihawokRiP8PE3BQ7Rk
900 Park Restaurant,"900 Morris Park Ave, Bronx",40.8465434,-73.8589633,c55d31708ae2aee4f771d60118a5e1a9a48eb2e6,ChIJDfq3qKT0wokRmwYpKklgtvk
900 Park Restaurant,"900 Morris Park Avenue, Bronx",40.8465321,-73.8590282,3a9335711a7a79445486e3f1dd8bcd9545d4d211,ChIJDfq3qKT0wokRV7aqFevic34
99 Cent Pizza Dealz,"6610 Grand Avenue, Maspeth",40.7241715,-73.8983566,45394f0f6c762b68fd21df8009d974e475768e52,ChIJu6qu3PJewokR-lwf6zc3Dq8
9ja Villa Nigerian Restaurant and Bar,"5023 Avenue N, Brooklyn",40.6192094,-73.9260348,92d5ba276f9197a8ac149ca8300b3f9a6e7dda76,ChIJZ7f0oVxDwokRpido2FxIoX8
A & C Kitchen,"136 Avenue C, New York",40.7249782,-73.9779613,b1c73b87f5f370c653998e9bcb1f09cf742449df,ChIJBxeKWXdZwokRoE0jhLAfrjU
A & I Enterprises,"3033 Coney Island Avenue, Brooklyn",40.581748,-73.959522,2cd22a886a811a2537563bb35fea21092fae7d0b,ChIJA0euhEJEwokRvQdb1NUd-ic
A & J Restaurant,"1301 40th Avenue, Long Island City",40.7557238,-73.9418043,a8c83049f5dc1970715188c041b9684f0c84d03f,ChIJHQIpg9NYwokRwrI5TIYJ9VQ
A & K Sanwiches,"7507 Parsons Boulevard, Flushing",40.7262489,-73.8104345,444fdf4356e69c40930874a6b1c17b4f72081b12,ChIJL5MkxfZgwokRi_Bstl31SEs
A & L Pizzeria,"6024 18th Avenue, Brooklyn",40.6216667,-73.98799,bb3da446f73448e6cff3733e3efa8ad90e01dd49,ChIJQ85jRSFFwokRUhDlGwfjlG0
